collector_key,trans_dt,store_location_key,product_key,sales,units,trans_key
-1,"2015-10-28",6973,999999999999513,0.00,1,31575569731182201510281142
-1,"2015-07-24",6973,77105810883,8.53,1,31216969731182201507241448
141178981825,"2015-12-14",6973,30041060552,11.55,1,31755569731182201512141140
-1,"2015-04-10",6973,999999999999142,0.00,1,30763169731182201504101230
139518403300,"2015-10-14",6973,999999999999513,0.00,1,3152046973118220151014924
-1,"2015-07-30",6973,999999999999513,0.00,1,3124006973118220150730849
137298570713,"2015-05-20",6973,77105880035,1.58,1,30931269731182201505201540
-1,"2015-12-11",6973,999999999999513,8.88,1,31753069731182201512111455
-1,"2016-01-08",6973,62455802158,32.02,1,31846069731182201601081000
-1,"2015-05-22",6973,999999999999513,73.96,2,3094486973118220150522856
-1,"2015-11-05",6973,999999999999513,0.00,1,31612869731182201511051548
-1,"2015-11-06",6973,6490040955,3.54,1,31618669731182201511061445
-1,"2015-09-30",6973,6700000928,2.12,1,31467669731182201509301306
-1,"2015-11-13",6973,999999999999513,0.00,1,31645569731182201511131344
-1,"2015-11-13",6973,999999999999513,184.11,1,2078369731565201511131152
139476712627,"2015-12-21",6973,6202000541,3.54,1,3178346973118220151221954
-1,"2015-12-14",6973,999999999999513,0.00,1,31755269731182201512141009
-1,"2016-01-30",7167,7940009051,5.86,1,61171671182201601301038
-1,"2016-01-27",7167,999999999999513,38.82,1,24571671182201601271218
-1,"2015-12-29",6973,5980000060,3.36,1,31812869731182201512291527
-1,"2015-07-29",6973,999999999999513,7.12,1,31235169731182201507291235
-1,"2015-07-30",6973,999999999999513,22.75,2,31243569731182201507301150
-1,"2016-01-26",7167,999999999999513,26.74,1,15171671182201601261037
-1,"2015-05-01",6973,999999999999142,0.00,1,30857569731182201505011406
-1,"2015-10-19",6973,999999999999513,0.00,1,31537969731182201510191442
-1,"2015-10-21",6973,999999999999513,11.64,1,31547569731182201510211428
-1,"2015-11-13",6973,999999999999513,14.63,1,2079269731565201511131155
-1,"2015-12-18",6973,999999999999513,7.32,1,31779369731182201512181305
-1,"2016-01-25",6973,999999999999513,0.00,1,31914169731182201601251711
147841416408,"2015-09-03",6973,999999999999513,1.78,1,31366669731182201509031605
-1,"2016-01-11",6973,999999999999513,53.92,1,31854569731182201601111633
-1,"2015-10-30",6973,77105810211,11.55,1,31584869731182201510301024
-1,"2016-01-07",6973,999999999999513,29.46,1,31842069731182201601071336
-1,"2015-12-23",6973,6700000829,2.30,1,31802969731182201512231440
-1,"2015-12-09",6973,999999999999513,58.53,1,208786973156520151209908
-1,"2015-10-16",6973,999999999999513,1.78,1,31531969731182201510161038
-1,"2015-09-04",6973,999999999999513,8.88,1,31369269731182201509041340
