product_key,collector_key,trans_dt,store_location_key,sales,units,trans_id
4319416816,-1,"2015-06-26",8142,9.42,1,16945481425160201506261558
6210700491,-1,"2015-10-25",8142,24.90,1,34001814221225201510251132
5873832611,-1,"2015-09-18",8142,12.09,1,17274781425160201509181416
77105810243,-1,"2015-09-14",8142,20.45,1,4145281421182201509141429
5610007708,-1,"2015-04-18",8142,10.31,1,26415814217192201504181149
78616265005,-1,"2015-07-03",8142,5.32,1,169718814217192201507031626
4740007371,-1,"2015-12-11",8142,42.70,1,176702814220044201512112020
6454130695,-1,"2015-05-06",8142,46.26,1,27260814221225201505061412
77105810774,-1,"2015-04-01",8142,17.78,1,3287181421182201504011347
18021700046,-1,"2016-01-02",8142,64.06,1,36831814217192201601021325
999999999999142,-1,"2015-09-26",8142,0.00,1,173202814220044201509261738
77105880125,-1,"2015-09-03",8142,1.76,1,318028142485420150903944
66573000613,141218377442,"2015-07-22",8142,3.49,1,17042281425160201507221415
999999999999513,-1,"2015-10-28",8142,0.00,1,4366081421182201510281455
999999999999142,-1,"2015-09-26",8142,0.00,1,32875814217192201509261251
85122800007,-1,"2015-06-24",8142,37.36,1,29241814217192201506241912
77105840212,-1,"2015-04-14",8142,15.27,2,16721281425160201504141435
999999999999142,-1,"2015-12-04",8142,0.00,1,176353814217192201512041501
999999999999142,-1,"2015-06-26",8142,0.00,1,3754181421182201506261257
999999999999142,-1,"2015-10-02",8142,0.00,1,4234081421182201510021504
8390000626,-1,"2015-11-12",8142,5.14,1,4445581421182201511122048
77105810778,-1,"2015-04-02",8142,14.22,1,166899814210919201504021959
999999999999142,141149610220,"2015-12-04",8142,0.00,1,3556981424854201512041154
999999999999142,-1,"2015-08-08",8142,0.00,1,30895814217192201508081105
999999999999513,-1,"2015-05-07",8142,47.33,1,3487681421182201505071027
999999999999142,-1,"2015-08-29",8142,0.00,1,3154381421719220150829944
6132834208,-1,"2015-11-16",8142,14.22,1,34831814217192201511161302
999999999999200,-1,"2015-12-01",8142,5.34,1,3548081424854201512011545
999999999999142,-1,"2015-05-08",8142,0.00,1,27337814221225201505081209
999999999999142,-1,"2015-10-10",8142,0.00,1,4273181421182201510101311
80490600502,139485759217,"2015-04-23",8142,8.90,1,167393814221225201504231044
999999999999133,-1,"2015-07-02",8142,1.07,1,3783381421182201507021733
36519734430,-1,"2015-11-21",8142,35.58,1,175697814220044201511211428
77141200005,-1,"2015-05-01",8142,3.38,1,27021814221225201505011141
77105810491,-1,"2015-10-09",8142,7.10,1,173813814220044201510091647
999999999999513,-1,"2015-07-28",8142,161.78,1,3913281421182201507281718
999999999999513,-1,"2015-11-04",8142,7.32,1,4401881421182201511041202
999999999999142,-1,"2015-11-15",8142,0.00,1,4454381421182201511151330
5532503655,-1,"2015-05-05",8142,26.68,1,27181814217192201505051320
77105880035,-1,"2015-10-02",8142,1.58,1,3315281424854201510021231
6285176405,141258900276,"2015-12-16",8142,2.65,1,4604081421182201512161806
999999999999513,-1,"2015-04-24",8142,0.00,2,3413081421182201504241218
999999999999142,-1,"2015-12-06",8142,0.00,1,35644814217192201512061200
1125000000,-1,"2015-10-09",8142,5.32,1,3345481424854201510091004
5559943711,-1,"2015-09-05",8142,16.00,1,31914814217192201509051105
999999999999142,-1,"2015-04-17",8142,0.00,1,167279814220044201504171641
3600040679,-1,"2015-11-10",8142,69.40,1,175250814217192201511101720
6210700492,-1,"2015-10-10",8142,37.36,1,3349781421719220151010936
999999999999513,-1,"2015-11-26",8142,10.82,1,4503881421182201511261606
999999999999513,-1,"2015-10-30",8142,0.00,1,4380181421182201510301728
41410000216,-1,"2015-04-01",8142,49.84,1,16684781425160201504011341
999999999999513,-1,"2015-03-31",8142,36.58,5,3280181421182201503311508
77401677487,137313659105,"2015-12-01",8142,35.58,1,176203814217192201512011734
999999999999513,-1,"2015-09-14",8142,7.32,1,4142581421182201509141001
5800031056,-1,"2015-09-06",8142,11.55,1,172283814221225201509061455
4005800003264,134586955196,"2015-06-17",8142,12.98,1,28924814217192201506171744
3980003678,-1,"2015-10-31",8142,42.68,2,174756814220044201510311306
999999999999142,-1,"2015-12-27",8142,0.00,1,36588814217192201512271151
999999999999513,-1,"2015-10-13",8142,0.00,1,4278681421182201510131049
6565622220,-1,"2015-11-11",8142,10.66,1,4437081421182201511111226
77105880050,-1,"2015-11-16",8142,3.19,1,34848814217192201511161436
999999999999142,-1,"2015-07-05",8142,0.00,1,169794814221225201507051041
41410000216,-1,"2015-10-05",8142,49.84,1,173590814217192201510051706
5650035775,-1,"2015-09-24",8142,14.22,1,4193281421182201509241312
6170091252,-1,"2015-12-05",8142,26.68,1,176405814220044201512051557
6260095924,-1,"2015-12-31",8142,48.04,1,4668681421182201512311715
4203710305,-1,"2015-11-11",8142,22.23,1,3462181424854201511111041
999999999999513,-1,"2015-09-04",8142,47.72,1,4108781421182201509041724
999999999999142,-1,"2015-11-28",8142,0.00,1,4516081421182201511281627
999999999999142,-1,"2015-08-28",8142,0.00,1,3151381424854201508281133
999999999999142,-1,"2015-05-15",8142,0.00,1,3536181421182201505151725
999999999999142,-1,"2015-04-04",8142,0.00,1,3300081421182201504041129
999999999999142,-1,"2015-07-10",8142,0.00,1,170139814220044201507102005
3700028252,-1,"2015-05-23",8142,11.20,1,168225814220044201505231520
999999999999142,-1,"2015-08-28",8142,0.00,1,4068881421182201508281351
999999999999513,-1,"2015-07-09",8142,14.63,2,3815781421182201507091527
7094201840,-1,"2015-04-20",8142,9.77,1,3389681421182201504201154
78616265003,-1,"2015-11-23",8142,5.14,1,175818814217192201511231804
3700018145,-1,"2015-05-05",8142,11.55,1,3480181421182201505051759
77105810231,-1,"2015-06-24",8142,16.89,1,2919681424854201506241425
999999999999142,-1,"2015-08-22",8142,0.00,1,171559814217192201508221209
6285176400,-1,"2015-04-30",8142,2.47,1,26963814217192201504301353
6714000433,-1,"2015-09-10",8142,14.22,1,172484814217192201509101537
80490600302,-1,"2015-12-07",8142,5.34,1,3567781424854201512071239
6490040941,-1,"2015-07-09",8142,5.86,1,170055814217192201507091414
77105840234,-1,"2015-08-26",8142,3.01,1,171898814217192201508261712
77105810220,-1,"2015-12-12",8142,14.22,1,35894814217192201512121202
41600077789,-1,"2015-06-25",8142,0.00,1,16941581425160201506251642
6290066190,-1,"2015-10-05",8142,30.24,1,173574814217192201510051551
6700000462,-1,"2016-01-30",8142,5.32,1,37955814217192201601301344
999999999999513,-1,"2015-07-07",8142,39.69,1,3806781421182201507071929
