store_location_key,product_key,collector_key,trans_dt,sales,units,trans_key
7296,85375900278,-1,"2015-06-26",4.97,1,1254872965892201506261221
7296,81526001001,139537965459,"2015-05-01",44.48,1,2499072965092201505011441
7296,77105840334,141333831857,"2015-05-24",16.00,1,28995729621768201505241031
7296,77105880170,141240118107,"2015-07-28",10.66,1,738272961182201507281435
7296,62080820055,-1,"2015-08-21",1.78,1,14603729620172201508211458
7296,6230070608,-1,"2015-08-04",2.83,1,41980729621768201508041408
7296,5639431011,-1,"2015-07-02",25.79,1,36453729622512201507021923
7296,6132848208,134559179101,"2015-09-19",28.44,2,50620729623401201509191812
7296,7417006762,134400314081,"2015-09-29",17.78,1,52693729622934201509291636
7296,6900014896,-1,"2015-12-08",6.75,1,66162729622934201512082112
7296,5980034014,134532342981,"2015-10-27",12.44,1,1814772965892201510272016
7296,7417042332,-1,"2015-07-15",20.45,1,13217729622282201507152012
7296,4160804806,139449801379,"2015-11-19",9.77,1,1120372961182201511191949
7296,999999999999200,134458479360,"2015-04-11",33.82,2,9823729622526201504111722
7296,6260096198,-1,"2015-10-06",19.56,1,53960729622282201510061207
7296,7098659434,134520217460,"2015-09-23",15.11,1,51258729622282201509231036
7296,77105860137,-1,"2016-01-20",7.10,1,73605729622967201601201230
7296,77105810088,-1,"2015-09-22",16.00,1,51067729622967201509221127
7296,71785421511,-1,"2015-06-08",9.93,2,32229729622934201506081711
7296,62080815255,134591070642,"2015-12-08",5.34,1,66037729622282201512081157
7296,3700089086,141257939767,"2015-04-25",18.67,1,2392272965092201504251117
7296,4740007106,-1,"2016-01-25",42.70,1,74550729622934201601251112
7296,5847810906,137293882569,"2015-10-29",27.57,1,1041072961182201510291226
7296,5650051054,-1,"2015-06-13",21.34,1,33251729622967201506131500
7296,999999999999142,134561945240,"2015-08-21",0.00,1,4503372965892201508212031
7296,999999999999142,-1,"2015-11-17",0.00,1,62205729623570201511171634
7296,5980030080,-1,"2015-09-22",9.42,1,51220729622934201509221850
7296,77105880189,137281723140,"2015-12-15",30.24,1,67371729622282201512151728
7296,77105810229,134558173957,"2015-04-09",26.68,1,22077729622512201504091708
7296,5490002109,-1,"2015-07-14",9.77,1,13085729622039201507141411
7296,71785421504,-1,"2015-05-22",9.93,2,2869872965092201505221149
7296,6454131927,137299168452,"2015-08-04",24.01,1,42091729622282201508041813
7296,7780212726,141262986226,"2015-10-17",5.86,1,56060729622967201510171426
7296,7560904026,140189576443,"2015-07-29",2.65,1,41050729622282201507291518
7296,7000097926,137774195328,"2015-10-15",9.75,1,994772961182201510151611
7296,7704323615,-1,"2015-07-20",14.76,1,39530729622934201507201832
7296,5800030983,134586194405,"2015-07-21",13.87,1,39636729621768201507211356
7296,6210700433,141155031382,"2015-09-04",18.67,1,47577729622282201509041542
7296,77105840084,-1,"2015-12-01",15.11,1,85172965892201512011546
7296,88664608001,137262863724,"2015-10-09",16.00,1,54647729622282201510092104
7296,6343570203,-1,"2015-05-01",20.45,1,2499172965092201505011441
7296,62792555555,-1,"2015-12-12",17.80,1,66740729622282201512121059
7296,999999999999142,141140221564,"2015-05-08",0.00,1,2625672965092201505081747
7296,999999999999142,-1,"2015-07-24",0.00,1,1341972965892201507241301
7296,72047316183,-1,"2015-09-23",7.99,1,51310729622282201509231429
7296,7569100206,139456325544,"2015-10-24",5.30,2,57289729623401201510241021
7296,6041002246,-1,"2015-09-11",6.57,1,48739729622282201509111554
7296,6672102039,-1,"2015-07-31",6.75,1,41366729621768201507311324
7296,72047370872,-1,"2015-10-13",9.77,1,55265729622934201510131707
7296,5621930025,-1,"2015-06-06",18.67,1,1174672965892201506061108
7296,6343571103,137267777858,"2015-04-03",15.91,6,21154729622513201504031544
7296,999999999999513,-1,"2015-11-05",0.00,1,1069572961182201511051902
7296,6900000984,141139912163,"2015-11-21",41.22,4,62856729622282201511211110
7296,5582900050,-1,"2015-04-21",1.78,1,2317872962251320150421945
7296,77105811087,-1,"2015-04-05",22.23,1,21567729622526201504051759
7296,999999999999513,-1,"2015-10-04",0.00,1,959072961182201510041451
7296,999999999999513,139456950876,"2015-05-01",0.00,1,464172961182201505011521
7296,6820020315,139518565717,"2015-06-10",4.61,1,32653729622618201506102020
7296,77105840217,-1,"2016-01-23",23.10,2,74345729623401201601231754
7296,6202000544,137262843421,"2015-05-09",5.66,2,2635772965092201505091133
7296,3700083079,139457867321,"2015-10-05",10.66,1,96027296118220151005927
7296,5770021520,-1,"2015-10-12",5.86,1,55132729623318201510121644
7296,7148602464,-1,"2015-04-17",8.88,1,1036572965092201504171615
7296,6976200071,-1,"2015-06-01",7.08,2,30642729621768201506011229
7296,999999999999142,141238049867,"2015-10-10",0.00,1,54694729622282201510101150
7296,77105860510,141219605890,"2015-11-21",7.64,1,62895729622282201511211220
7296,5610007647,141333832566,"2015-06-17",13.87,1,33997729622282201506172059
7296,999999999999142,-1,"2015-10-30",0.00,1,58701729622282201510301730
7296,999999999999200,-1,"2015-10-09",1.78,1,1715672965892201510091328
7296,5770021501,141133458136,"2015-12-22",5.86,1,68723729620172201512221723
7296,999999999999142,-1,"2015-08-01",0.00,1,752072961182201508011518
7296,999999999999142,139454202858,"2016-01-29",0.00,1,75345729622282201601291221
7296,5980061407,134648525090,"2016-01-30",13.87,1,379172965892201601301238
7296,6381606120,-1,"2015-09-21",9.42,1,50905729622934201509211508
7296,5963188295,139484184480,"2015-05-12",10.66,1,1118472965892201505121929
7296,999999999999513,134524191065,"2015-10-26",35.94,1,1031672961182201510261432
7296,77105840234,-1,"2015-05-26",2.65,1,2449729621771201505261355
7296,77105890015,141254286808,"2015-11-07",2.12,1,60330729623401201511071351
7296,62846700251,-1,"2015-05-27",26.50,1,29514729622039201505271235
7296,6260006037,-1,"2015-04-04",16.89,1,21346729622526201504041602
7296,999999999999513,134531055590,"2015-05-16",9.27,1,503572961182201505161052
7296,5899700008,134452014851,"2015-12-05",9.22,2,65533729622967201512051353
7296,62080826150,-1,"2015-04-17",8.90,1,1024272965092201504171049
7296,30997530965,137273577254,"2015-05-08",20.45,1,260357296509220150508948
7296,60894054330,141216819272,"2015-05-03",105.02,1,1096372965092201505031007
7296,999999999999200,-1,"2015-07-31",24.92,3,4131072962176820150731959
7296,6120022595,-1,"2015-10-20",3.19,1,56535729622039201510201022
7296,6700000487,139500335898,"2015-05-23",4.97,1,28885729622282201505231103
7296,77105810807,141262986453,"2015-12-29",12.44,1,69773729620172201512291116
7296,6410085245,137268757001,"2015-07-07",5.86,1,37170729622039201507071126
7296,999999999999513,141214792708,"2015-07-16",0.00,1,701772961182201507161632
7296,76131801092,134527848605,"2015-12-20",74.74,1,68281729622967201512201616
7296,6968225700,134586019319,"2015-05-01",21.32,2,2511672965092201505011844
7296,3700091985,141237823101,"2015-11-09",12.44,1,6082772965892201511091337
7296,999999999999142,139447508120,"2015-10-30",0.00,1,58600729622967201510301407
7296,6490042254,141333833273,"2015-04-12",4.08,1,985872965092201504121016
7296,7940038108,-1,"2015-09-26",13.87,1,5187672962296720150926931
7296,5770022814,-1,"2015-09-20",5.86,1,50727729621771201509201330
7296,5800031153,137277771355,"2015-06-24",13.87,1,35041729622282201506241742
7296,9100000914,140202035815,"2015-10-25",14.22,1,57672729622282201510251557
7296,6260095958,-1,"2015-12-30",37.36,1,252572965892201512301848
7296,6210709052,137270159672,"2015-07-24",22.23,1,40224729621768201507241339
7296,999999999999204,-1,"2016-01-07",0.00,-1,71360729622039201601071837
7296,999999999999142,134591202517,"2015-12-12",0.00,1,135072965892201512121353
7296,5621991016,-1,"2015-11-13",11.55,1,8772965892201511131609
7296,71722622260,-1,"2016-01-01",24.01,1,70376729622967201601011655
7296,999999999999142,-1,"2015-05-01",0.00,1,2488872965092201505011001
7296,7099210228,-1,"2015-11-13",10.66,1,61583729623401201511131859
7296,6132848208,137266385028,"2016-01-29",14.22,1,371172965892201601291402
7296,6700010483,134520389422,"2015-04-29",24.88,2,24730729622282201504291324
7296,77105810189,134517895376,"2015-04-12",4.43,1,1004572965092201504121754
7296,6343570216,139449562913,"2015-09-27",20.45,1,52131729621768201509271051
7296,77105840105,139514628234,"2015-05-25",7.10,1,29199729622618201505251636
7296,77105810188,134513109995,"2015-12-01",6.21,1,64733729623401201512011853
7296,77105840018,-1,"2015-10-27",32.91,1,58047729622282201510271844
7296,77105890015,137273844595,"2015-10-15",2.12,1,5550472962228220151015921
7296,999999999999142,-1,"2015-08-28",0.00,1,83437296118220150828938
7296,62080820056,139447038081,"2015-07-16",1.78,1,1322872965892201507161104
7296,6540000096,-1,"2015-06-11",9.77,1,3106729622039201506111757
7296,999999999999513,141173550857,"2015-07-23",0.00,1,723772961182201507231617
7296,72047323298,134586102235,"2015-04-16",10.59,1,2259072965092201504161453
7296,6533300845,137264180357,"2015-08-24",6.21,1,45500729620172201508241521
7296,4319418503,141339055086,"2016-01-13",31.99,3,72371729622967201601131450
7296,81809400102,-1,"2015-04-23",11.71,2,23533729622282201504231521
7296,77105810389,-1,"2015-06-09",34.69,1,304872965892201506091625
7296,30997601229,134561369621,"2015-06-25",14.76,1,35193729622512201506251725
7296,41600000167,-1,"2015-06-08",0.09,1,32231729622934201506081720
7296,62080826159,-1,"2015-06-19",8.90,1,34196729621768201506191029
7296,2420000471,134563490522,"2015-11-21",15.11,1,62891729622282201511211213
7296,72047368815,141174624106,"2015-12-20",16.00,1,68296729622967201512201631
7296,6570010027,134540940890,"2015-12-17",8.17,1,67645729622282201512171233
7296,999999999999142,137269304748,"2015-07-05",0.00,1,662872961182201507051636
7296,72047359469,-1,"2015-05-15",5.32,1,2765072965892201505151937
7296,3700088701,137271055068,"2015-11-10",44.48,1,61042729622282201511101514
7296,4127102562,-1,"2015-07-14",5.32,1,38453729621768201507141051
7296,9980000078,-1,"2015-07-12",14.76,1,38219729622934201507121729
7296,999999999999200,139446164731,"2015-10-24",1.78,1,57360729623401201510241321
7296,5800000166,142810721775,"2015-10-25",7.64,1,57689729622934201510251631
7296,77105804399,134523238436,"2015-04-30",5.86,1,1052472962228220150430934
7296,6343570215,134649103905,"2015-07-04",50.68,3,12818729622512201507041338
7296,7830007017,134526327647,"2015-06-05",14.10,2,31566729621768201506051215
7296,80089782832,134400314081,"2015-03-31",10.66,1,900172965892201503311342
7296,62080826152,-1,"2015-04-07",8.90,1,21609729621768201504071250
7296,62173200353,141236836810,"2015-06-11",22.23,1,307972965892201506111042
7296,6580013121,141320436919,"2015-07-06",6.37,2,37026729622512201507061337
7296,62080825284,-1,"2015-07-28",3.56,1,40819729621768201507281127
7296,77105890004,141334244018,"2015-08-14",-9.77,-1,1418272965892201508141530
7296,999999999999142,-1,"2015-11-20",0.00,1,62673729623570201511201321
7296,5660079321,-1,"2015-05-13",2.83,1,2721072965092201505131942
7296,77105880046,134587312818,"2016-01-20",2.83,1,73671729622967201601201655
7296,3508240206222,134529819882,"2015-09-12",65.86,1,4891272965892201509121548
7296,999999999999513,141155839774,"2016-01-18",39.32,1,1329072961182201601181652
7296,999999999999513,141339054394,"2016-01-02",0.00,1,1271572961182201601021121
7296,88263699963,-1,"2015-12-11",17.73,4,12737296589220151211829
7296,62080826149,-1,"2015-04-28",8.90,1,24489729622282201504281314
7296,999999999999200,-1,"2015-04-21",1.78,1,23232729622512201504211449
7296,999999999999513,137265157448,"2015-09-24",7.07,1,923272961182201509241059
7296,6700000464,141273687400,"2015-09-17",4.43,1,5009772965892201509171616
7296,6533300180,141339055442,"2016-01-01",7.64,1,70316729622967201601011408
7296,7726008472,-1,"2015-04-03",11.48,5,21136729622513201504031525
7296,6343570120,-1,"2015-05-11",16.89,1,26843729622039201505111936
7296,6321101021,-1,"2015-10-25",2.65,1,1801072965892201510251537
7296,5800030876,134649247050,"2015-10-10",12.42,2,17250729623570201510101911
7296,77105860141,137269439363,"2015-05-21",6.75,1,28559729622039201505211519
7296,6957990227,134648514395,"2015-11-07",4.97,1,60320729623401201511071323
7296,6533806138,141300633870,"2015-11-19",32.02,1,62577729622282201511191802
7296,30997465615,134587839325,"2015-07-05",6.75,1,36936729622967201507051528
7296,999999999999204,-1,"2015-08-12",0.00,-1,13980729620172201508121122
