product_key,collector_key,trans_dt,store_location_key,sales,units,trans_id
1E+15,-1,10/28/2015,6973,,1,3.15756E+25
77105810883,-1,7/24/2015,6973,,1,3.1217E+25
30041060552,1.41179E+11,12/14/2015,6973,,1,3.17556E+25
1E+15,-1,4/10/2015,6973,,1,3.07632E+25
1E+15,1.39518E+11,10/14/2015,6973,,1,3.15205E+24
1E+15,-1,7/30/2015,6973,,1,3.12401E+24
77105880035,1.37299E+11,5/20/2015,6973,,1,3.09313E+25
1E+15,-1,12/11/2015,6973,,1,3.17531E+25
62455802158,-1,1/8/2016,6973,,1,3.18461E+25
1E+15,-1,5/22/2015,6973,,2,3.09449E+24
1E+15,-1,11/5/2015,6973,,1,3.16129E+25
6490040955,-1,11/6/2015,6973,,1,3.16187E+25
6700000928,-1,9/30/2015,6973,,1,3.14677E+25
1E+15,-1,11/13/2015,6973,,1,3.16456E+25
1E+15,-1,11/13/2015,6973,,1,2.07837E+24
6202000541,1.39477E+11,12/21/2015,6973,,1,3.17835E+24
1E+15,-1,12/14/2015,6973,,1,3.17553E+25
7940009051,-1,1/30/2016,7167,,1,6.11717E+22
1E+15,-1,1/27/2016,7167,,1,2.45717E+22
5980000060,-1,12/29/2015,6973,,1,3.18129E+25
1E+15,-1,7/29/2015,6973,,1,3.12352E+25
1E+15,-1,7/30/2015,6973,,2,3.12436E+25
1E+15,-1,1/26/2016,7167,,1,1.51717E+22
1E+15,-1,5/1/2015,6973,,1,3.08576E+25
1E+15,-1,10/19/2015,6973,,1,3.1538E+25
1E+15,-1,10/21/2015,6973,,1,3.15476E+25
1E+15,-1,11/13/2015,6973,,1,2.07927E+24
1E+15,-1,12/18/2015,6973,,1,3.17794E+25
1E+15,-1,1/25/2016,6973,,1,3.19142E+25
1E+15,1.47841E+11,9/3/2015,6973,,1,3.13667E+25
1E+15,-1,1/11/2016,6973,,1,3.18546E+25
77105810211,-1,10/30/2015,6973,,1,3.15849E+25
1E+15,-1,1/7/2016,6973,,1,3.18421E+25
6700000829,-1,12/23/2015,6973,,1,3.1803E+25
1E+15,-1,12/9/2015,6973,,1,2.08787E+23
1E+15,-1,10/16/2015,6973,,1,3.1532E+25
1E+15,-1,9/4/2015,6973,,1,3.13693E+25
1E+15,-1,7/3/2015,6973,,1,3.11309E+24
1E+15,-1,1/28/2016,7167,,1,3.86717E+22
1E+15,-1,9/29/2015,6973,,1,3.14651E+25
1E+15,-1,11/10/2015,6973,,1,3.16309E+25
77105880035,-1,10/1/2015,6973,,1,3.14752E+25
77105810099,1.37299E+11,5/20/2015,6973,,1,3.09313E+25
1E+15,-1,1/25/2016,7167,,1,9.57167E+21
1E+15,-1,5/26/2015,6973,,1,3.09584E+25
1E+15,-1,12/8/2015,6973,,1,3.17337E+25
1E+15,-1,10/2/2015,6973,,1,3.14788E+25
5770021599,-1,6/18/2015,6973,,1,3.10675E+25
5770032944,-1,8/31/2015,6973,,1,3.13494E+25
1E+15,-1,11/26/2015,6973,,1,3.16904E+24
1E+15,-1,7/14/2015,6973,,2,3.11769E+25
6700000829,-1,10/16/2015,6973,,1,3.15357E+25
1E+15,-1,10/9/2015,6973,,1,3.15099E+25
1E+15,-1,1/12/2016,6973,,1,3.18593E+25
6700000829,-1,4/30/2015,6973,,1,3.08507E+25
1E+15,-1,11/2/2015,6973,,1,3.15927E+25
1E+15,-1,12/10/2015,6973,,1,3.17484E+25
77105810640,1.34522E+11,12/8/2015,6973,,1,3.17358E+25
1E+15,-1,6/30/2015,6973,,1,3.11226E+25
1E+15,-1,11/23/2015,6973,,1,3.1676E+25
1E+15,-1,10/28/2015,6973,,1,3.15764E+25
6210700610,1.41179E+11,12/31/2015,6973,,1,3.18182E+25
1E+15,-1,1/19/2016,6973,,1,3.18848E+25
1E+15,-1,9/8/2015,6973,,1,3.13791E+25
1E+15,-1,6/12/2015,6973,,1,2.02127E+24
6625906411,-1,10/22/2015,6973,,1,3.15533E+25
1E+15,-1,12/10/2015,6973,,1,3.17439E+25
6260096075,-1,11/25/2015,6973,,1,3.16872E+25
1E+15,-1,10/7/2015,6973,,1,3.14966E+24
77105810493,1.39506E+11,1/12/2016,6973,,1,3.18586E+25
1E+15,-1,7/10/2015,6973,,1,2.03137E+24
5770021599,-1,9/11/2015,6973,,1,3.1398E+25
1E+15,-1,4/10/2015,6973,,1,3.07638E+25
1E+15,-1,4/6/2015,6973,,1,3.07368E+25
1E+15,-1,12/21/2015,6973,,1,3.17851E+25
6410085252,1.37307E+11,6/1/2015,6973,,1,3.09812E+25
1E+15,-1,8/20/2015,6973,,1,3.13173E+25
1E+15,-1,4/7/2015,6973,,1,3.07399E+24
1E+15,-1,9/14/2015,6973,,1,3.14035E+25
1E+15,-1,10/15/2015,6973,,1,2.06667E+24
1E+15,-1,12/11/2015,6973,,1,3.17497E+24
1E+15,-1,9/22/2015,6973,,1,2.06057E+23
77105810425,1.41179E+11,11/10/2015,6973,,1,3.16278E+25
1E+15,-1,10/27/2015,6973,,1,3.15718E+25
77105880035,-1,4/20/2015,6973,,1,3.07977E+25
77105810397,-1,8/4/2015,6973,,1,3.12529E+25
5770033148,-1,12/2/2015,6973,,1,3.17143E+25
77105810228,1.37305E+11,11/12/2015,6973,,1,3.16398E+25
6210000241,1.41179E+11,11/11/2015,6973,,1,3.16324E+25
1E+15,-1,12/10/2015,6973,,1,3.17486E+25
1E+15,-1,9/15/2015,6973,,1,3.14087E+24
62527303214,-1,7/8/2015,6973,,1,3.11505E+25
6210700426,-1,10/9/2015,6973,,1,3.15112E+25
1E+15,-1,10/9/2015,6973,,1,3.15128E+25
1E+15,-1,8/7/2015,6973,,1,2.04357E+24
5113165300,1.34451E+11,4/17/2015,6973,,1,3.07929E+25
1E+15,-1,10/5/2015,6973,,1,3.14872E+25
1E+15,-1,5/13/2015,6973,,1,2.01837E+24
1E+15,-1,10/16/2015,6973,,1,3.15342E+25
77105810408,-1,12/17/2015,6973,,1,3.17751E+25
1E+15,-1,12/15/2015,6973,,1,3.17657E+25
1E+15,-1,1/4/2016,6973,,1,3.18241E+25
1E+15,-1,11/24/2015,6973,,1,3.16818E+25
1E+15,1.34527E+11,1/27/2016,7167,,1,2.21717E+22
4203710319,-1,10/19/2015,6973,,1,3.15377E+25
1E+15,-1,7/6/2015,6973,,5,3.11381E+25
1E+15,-1,12/22/2015,6973,,1,3.17964E+25
1E+15,-1,9/30/2015,6973,,1,3.14672E+25
1E+15,-1,9/8/2015,6973,,1,3.13715E+24
1E+15,-1,11/5/2015,6973,,1,3.16102E+25
1E+15,-1,10/9/2015,6973,,1,3.15107E+25
1E+15,-1,10/5/2015,6973,,1,3.14862E+25
6410085266,-1,10/29/2015,6973,,1,3.158E+25
6968216200,1.39476E+11,4/7/2015,6973,,1,3.07444E+25
1E+15,-1,4/2/2015,6973,,1,3.07315E+25
1E+15,-1,5/19/2015,6973,,1,3.09236E+25
1E+15,-1,9/18/2015,6973,,1,3.14245E+25
1E+15,-1,11/25/2015,6973,,1,3.16858E+25
1E+15,-1,1/28/2016,7167,,1,3.70717E+22
1E+15,-1,7/8/2015,6973,,2,3.11534E+25
1E+15,1.34639E+11,1/29/2016,7167,,1,5.72717E+22
7339000011,-1,12/3/2015,6973,,1,3.17226E+25
6210000240,-1,5/21/2015,6973,,1,3.09428E+25
6625906411,-1,8/14/2015,6973,,1,3.12937E+25
1E+15,-1,11/11/2015,6973,,1,3.16358E+25
5770022296,-1,10/26/2015,6973,,2,3.15627E+24
1E+15,-1,1/11/2016,6973,,1,3.18512E+25
1E+15,-1,7/9/2015,6973,,2,3.11576E+25
1E+15,-1,1/5/2016,6973,,1,3.18262E+24
1E+15,-1,6/1/2015,6973,,1,3.0985E+25
1E+15,-1,9/14/2015,6973,,1,3.14046E+25
5639405695,-1,8/26/2015,6973,,1,3.13376E+25
1E+15,-1,12/4/2015,6973,,1,3.17262E+25
1E+15,-1,3/31/2015,6973,,1,3.07138E+25
1E+15,-1,4/21/2015,6973,,1,2.00977E+24
1E+15,-1,10/28/2015,6973,,1,3.15759E+25
1E+15,-1,8/7/2015,6973,,1,2.04187E+24
5847810306,1.39481E+11,12/23/2015,6973,,1,3.18016E+24
6490007069,-1,9/25/2015,6973,,1,3.14551E+25
5849635277,-1,10/1/2015,6973,,1,3.14756E+25
1E+15,-1,10/6/2015,6973,,1,3.14906E+25
